0.0002,28.564,28.856,7.673,6.364,42.892,6.236
0.0002,16.409,18.595,7.488,13.003,39.087,12.974
0.0002,11.409,13.421,7.184,11.106,31.711,11.122
0.0002,10.603,12.223,7.011,3.766,22.999,3.845
0.0002,9.347,10.815,6.778,4.344,21.937,4.367
0.0002,8.379,9.896,6.609,3.217,19.722,3.279
0.0002,7.646,9.298,6.435,1.852,17.586,1.836
0.0002,7.494,9.035,6.278,1.771,17.084,1.825
0.0002,7.546,9.146,6.166,1.537,16.848,1.586
0.0002,6.987,8.207,5.941,1.544,15.693,1.499
0.0002,6.316,7.653,5.694,1.447,14.794,1.443
0.0002,5.932,7.137,5.551,1.393,14.08,1.3
0.0002,5.958,7.142,5.421,1.282,13.845,1.159
0.0002,5.917,7.161,5.235,1.27,13.667,1.083
0.0002,5.368,6.467,5.083,1.238,12.788,1.044
0.0002,4.952,5.949,4.833,1.28,12.062,0.963
0.0002,5.674,6.717,4.743,1.21,12.67,1.092
0.0002,5.791,6.656,4.678,1.446,12.78,1.19
0.0002,4.914,5.977,4.485,1.941,12.403,1.696
0.0002,5.224,6.257,4.396,2.16,12.812,1.856
0.0002,4.942,6.272,4.391,1.878,12.542,1.604
0.0002,5.177,6.502,4.295,1.301,12.098,1.015
0.0002,4.453,5.62,4.178,1.032,10.831,0.816
0.0002,4.348,5.524,4.069,1.126,10.719,0.824
0.0002,4.649,5.878,3.993,1.098,10.968,0.716
0.0002,4.549,5.72,3.959,0.947,10.626,0.682
0.0002,3.871,4.8,3.821,1.017,9.638,0.623
0.0002,5.037,6.082,3.747,1.0,10.83,0.658
0.0002,4.768,5.884,3.694,0.989,10.567,0.62
0.0002,4.603,5.881,3.672,0.98,10.533,0.596
0.0002,4.498,5.319,3.546,1.111,9.977,0.514
0.0002,4.104,5.152,3.495,0.982,9.63,0.559
0.0002,3.838,4.711,3.448,1.012,9.171,0.543
0.0002,4.374,5.166,3.4,1.106,9.672,0.523
0.0002,4.516,5.354,3.326,1.029,9.709,0.532
0.0002,3.898,4.743,3.297,1.045,9.085,0.494
0.0002,3.481,4.358,3.237,1.133,8.729,0.492
0.0002,3.61,4.487,3.215,1.093,8.794,0.497
0.0002,3.982,4.993,3.147,1.174,9.314,0.481
0.0002,3.622,4.577,3.085,1.172,8.834,0.527
0.0002,3.223,3.914,3.013,1.268,8.195,0.652
0.0002,3.673,4.513,3.041,1.39,8.944,0.776
0.0002,5.069,6.077,3.029,1.526,10.632,0.836
0.0002,6.136,7.431,3.021,1.383,11.836,0.747
0.0002,3.918,4.83,2.89,1.243,8.962,0.589
0.0002,4.026,4.884,2.872,1.095,8.852,0.478
0.0002,4.009,4.928,2.808,1.151,8.887,0.438
0.0002,3.565,4.355,2.786,1.151,8.292,0.402
0.0002,3.684,4.476,2.742,1.16,8.378,0.353
0.0002,3.376,4.128,2.719,1.056,7.903,0.372
0.0002,3.289,3.987,2.679,1.18,7.846,0.341
0.0002,3.734,4.453,2.621,1.064,8.138,0.356
0.0002,3.788,4.505,2.592,1.103,8.2,0.38
0.0002,3.481,4.472,2.557,1.178,8.207,0.388
0.0002,3.073,3.788,2.514,1.353,7.655,0.425
0.0002,3.523,4.236,2.477,1.438,8.151,0.616
0.0002,4.104,4.967,2.514,1.662,9.143,0.903
0.0002,3.307,4.158,2.411,1.759,8.328,0.998
0.0002,2.87,3.569,2.377,1.543,7.488,0.716
0.0002,3.178,3.879,2.37,1.181,7.43,0.386
0.0002,3.116,3.955,2.351,1.121,7.427,0.331
0.0002,2.954,3.661,2.286,1.209,7.155,0.346
0.0002,4.028,4.963,2.295,1.099,8.357,0.341
0.0002,4.568,6.074,2.298,1.19,9.562,0.314
0.0002,4.699,5.867,2.321,1.1,9.288,0.336
0.0002,3.085,3.956,2.222,1.094,7.272,0.316
0.0002,3.435,4.047,2.235,1.202,7.485,0.285
0.0002,4.104,4.966,2.225,1.151,8.341,0.288
0.0002,3.784,4.707,2.161,1.139,8.008,0.269
0.0002,3.675,4.485,2.147,1.28,7.912,0.273
0.0002,3.246,3.947,2.126,1.164,7.237,0.288
0.0002,2.972,3.739,2.118,1.192,7.048,0.299
0.0002,3.078,3.677,2.043,1.368,7.089,0.317
0.0002,2.831,3.399,1.996,1.233,6.629,0.335
0.0002,2.733,3.335,1.985,1.269,6.589,0.316
